run_id,run_date,account_id,connector_id,environment,status,http_status,records_received,records_accepted,records_rejected,latency_ms,retry_count,error_code
SYNC-ACCT-001-CRM-20250814,2025-08-14,ACCT-001,CRM,Production,SUCCESS,200,1509,1501,8,655,0,
SYNC-ACCT-001-CRM-20250817,2025-08-17,ACCT-001,CRM,Production,SUCCESS,200,942,942,0,2064,0,
SYNC-ACCT-001-CRM-20250820,2025-08-20,ACCT-001,CRM,Production,SUCCESS,200,1175,1170,5,1928,0,
SYNC-ACCT-001-CRM-20250823,2025-08-23,ACCT-001,CRM,Production,SUCCESS,200,1409,1405,4,2909,0,
SYNC-ACCT-001-CRM-20250826,2025-08-26,ACCT-001,CRM,Production,SUCCESS,200,1287,1284,3,1891,0,
SYNC-ACCT-001-CRM-20250829,2025-08-29,ACCT-001,CRM,Production,SUCCESS,200,1407,1399,8,763,0,
SYNC-ACCT-001-CRM-20250901,2025-09-01,ACCT-001,CRM,Production,SUCCESS,200,1266,1262,4,2918,0,
SYNC-ACCT-001-CRM-20250904,2025-09-04,ACCT-001,CRM,Production,SUCCESS,200,1324,1319,5,2541,0,
SYNC-ACCT-001-CRM-20250907,2025-09-07,ACCT-001,CRM,Production,SUCCESS,200,1529,1527,2,3333,0,
SYNC-ACCT-001-CRM-20250910,2025-09-10,ACCT-001,CRM,Production,SUCCESS,200,1356,1347,9,3359,0,
SYNC-ACCT-001-CRM-20250913,2025-09-13,ACCT-001,CRM,Production,SUCCESS,200,975,968,7,2601,0,
SYNC-ACCT-001-CRM-20250916,2025-09-16,ACCT-001,CRM,Production,SUCCESS,200,1675,1668,7,1864,0,
SYNC-ACCT-001-CRM-20250919,2025-09-19,ACCT-001,CRM,Production,SUCCESS,200,1080,1072,8,1215,0,
SYNC-ACCT-001-CRM-20250922,2025-09-22,ACCT-001,CRM,Production,SUCCESS,200,1535,1530,5,2793,0,
SYNC-ACCT-001-CRM-20250925,2025-09-25,ACCT-001,CRM,Production,SUCCESS,200,1434,1432,2,3187,0,
SYNC-ACCT-001-CRM-20250928,2025-09-28,ACCT-001,CRM,Production,SUCCESS,200,1495,1483,12,970,0,
SYNC-ACCT-001-CRM-20251001,2025-10-01,ACCT-001,CRM,Production,SUCCESS,200,1180,1176,4,965,0,
SYNC-ACCT-001-CRM-20251004,2025-10-04,ACCT-001,CRM,Production,SUCCESS,200,1300,1300,0,1720,0,
SYNC-ACCT-001-CRM-20251007,2025-10-07,ACCT-001,CRM,Production,SUCCESS,200,1652,1640,12,2755,0,
SYNC-ACCT-001-CRM-20251010,2025-10-10,ACCT-001,CRM,Production,SUCCESS,200,1060,1055,5,2068,0,
SYNC-ACCT-001-CRM-20251013,2025-10-13,ACCT-001,CRM,Production,SUCCESS,200,1210,1205,5,1590,0,
SYNC-ACCT-001-CRM-20251016,2025-10-16,ACCT-001,CRM,Production,SUCCESS,200,750,750,0,1769,0,
SYNC-ACCT-001-CRM-20251019,2025-10-19,ACCT-001,CRM,Production,SUCCESS,200,1041,1037,4,509,0,
SYNC-ACCT-001-CRM-20251022,2025-10-22,ACCT-001,CRM,Production,SUCCESS,200,938,938,0,794,0,
SYNC-ACCT-001-CRM-20251025,2025-10-25,ACCT-001,CRM,Production,SUCCESS,200,1508,1506,2,2310,0,
SYNC-ACCT-001-CRM-20251028,2025-10-28,ACCT-001,CRM,Production,SUCCESS,200,1526,1521,5,600,0,
SYNC-ACCT-001-CRM-20251031,2025-10-31,ACCT-001,CRM,Production,SUCCESS,200,1541,1535,6,1275,0,
SYNC-ACCT-001-CRM-20251103,2025-11-03,ACCT-001,CRM,Production,SUCCESS,200,1138,1137,1,3244,0,
SYNC-ACCT-001-CRM-20251106,2025-11-06,ACCT-001,CRM,Production,SUCCESS,200,1204,1197,7,1761,0,
SYNC-ACCT-001-CRM-20251109,2025-11-09,ACCT-001,CRM,Production,SUCCESS,200,1268,1267,1,1206,0,
SYNC-ACCT-001-CRM-20251112,2025-11-12,ACCT-001,CRM,Production,SUCCESS,200,1223,1218,5,3166,0,
SYNC-ACCT-001-CRM-20251115,2025-11-15,ACCT-001,CRM,Production,SUCCESS,200,1235,1230,5,774,0,
SYNC-ACCT-001-CRM-20251118,2025-11-18,ACCT-001,CRM,Production,SUCCESS,200,1657,1644,13,2107,0,
SYNC-ACCT-001-CRM-20251121,2025-11-21,ACCT-001,CRM,Production,SUCCESS,200,774,771,3,3204,0,
SYNC-ACCT-001-CRM-20251124,2025-11-24,ACCT-001,CRM,Production,SUCCESS,200,931,924,7,1572,0,
SYNC-ACCT-001-CRM-20251127,2025-11-27,ACCT-001,CRM,Production,SUCCESS,200,913,910,3,2411,0,
SYNC-ACCT-001-CRM-20251130,2025-11-30,ACCT-001,CRM,Production,SUCCESS,200,1193,1183,10,1070,0,
SYNC-ACCT-001-CRM-20251203,2025-12-03,ACCT-001,CRM,Production,SUCCESS,200,1421,1412,9,1809,0,
SYNC-ACCT-001-CRM-20251206,2025-12-06,ACCT-001,CRM,Production,SUCCESS,200,1147,1143,4,3063,0,
SYNC-ACCT-001-CRM-20251209,2025-12-09,ACCT-001,CRM,Production,SUCCESS,200,1145,1143,2,1700,0,
SYNC-ACCT-001-CRM-20251212,2025-12-12,ACCT-001,CRM,Production,SUCCESS,200,1118,1115,3,602,0,
SYNC-ACCT-001-CRM-20251215,2025-12-15,ACCT-001,CRM,Production,SUCCESS,200,1378,1372,6,2172,0,
SYNC-ACCT-001-CRM-20251218,2025-12-18,ACCT-001,CRM,Production,SUCCESS,200,1255,1254,1,2455,0,
SYNC-ACCT-001-CRM-20251221,2025-12-21,ACCT-001,CRM,Production,SUCCESS,200,850,845,5,1747,0,
SYNC-ACCT-001-CRM-20251224,2025-12-24,ACCT-001,CRM,Production,SUCCESS,200,1259,1249,10,1472,0,
