account_id,milestone,stage_order,planned_date,actual_date,status,owner
ACCT-001,Discovery complete,1,2025-08-07,2025-08-07,Complete,Implementation
ACCT-001,Authentication,2,2025-08-11,2025-08-12,Complete,Integration Engineering
ACCT-001,Mapping approved,3,2025-08-19,2025-08-20,Complete,Implementation
ACCT-001,First test sync,4,2025-08-23,2025-08-25,Complete,Integration Engineering
ACCT-001,UAT complete,5,2025-08-30,2025-09-01,Complete,Implementation
ACCT-001,Training,6,2025-09-04,2025-09-05,Complete,Implementation
ACCT-001,Go-live,7,2025-09-10,2025-09-12,Complete,Implementation
ACCT-001,First value,8,2025-09-15,2025-09-17,Complete,Implementation
ACCT-002,Discovery complete,1,2025-08-13,2025-08-12,Complete,Implementation
ACCT-002,Authentication,2,2025-08-17,2025-08-17,Complete,Integration Engineering
ACCT-002,Mapping approved,3,2025-08-25,2025-08-23,Complete,Implementation
ACCT-002,First test sync,4,2025-08-29,2025-08-28,Complete,Integration Engineering
ACCT-002,UAT complete,5,2025-09-05,2025-09-03,Complete,Implementation
ACCT-002,Training,6,2025-09-10,2025-09-07,Complete,Implementation
ACCT-002,Go-live,7,2025-09-16,2025-09-13,Complete,Implementation
ACCT-002,First value,8,2025-09-21,2025-09-18,Complete,Implementation
ACCT-003,Discovery complete,1,2025-08-18,2025-08-19,Complete,Implementation
ACCT-003,Authentication,2,2025-08-24,2025-08-26,Complete,Integration Engineering
ACCT-003,Mapping approved,3,2025-09-04,2025-09-07,Complete,Implementation
ACCT-003,First test sync,4,2025-09-10,2025-09-15,Complete,Integration Engineering
ACCT-003,UAT complete,5,2025-09-20,2025-09-25,Complete,Implementation
ACCT-003,Training,6,2025-09-26,2025-10-03,Complete,Implementation
ACCT-003,Go-live,7,2025-10-05,2025-10-13,Complete,Implementation
ACCT-003,First value,8,2025-10-13,2025-10-19,Complete,Implementation
ACCT-004,Discovery complete,1,2025-08-22,2025-08-22,Complete,Implementation
ACCT-004,Authentication,2,2025-08-26,2025-08-28,Complete,Integration Engineering
ACCT-004,Mapping approved,3,2025-09-03,2025-09-05,Complete,Implementation
ACCT-004,First test sync,4,2025-09-07,2025-09-11,Complete,Integration Engineering
ACCT-004,UAT complete,5,2025-09-14,2025-09-18,Complete,Implementation
ACCT-004,Training,6,2025-09-19,2025-09-24,Complete,Implementation
ACCT-004,Go-live,7,2025-09-25,2025-10-01,Complete,Implementation
