account_id,uat_case_id,business_process,required_flag,executed_at,status,defect_severity
ACCT-001,UAT-01,Authentication,1,2025-08-30,Passed,
ACCT-001,UAT-02,Mapping,1,2025-08-31,Passed,
ACCT-001,UAT-03,Historical load,1,2025-09-01,Passed,
ACCT-001,UAT-04,Incremental sync,1,2025-09-02,Passed,
ACCT-001,UAT-05,Retries,1,2025-09-03,Passed,
ACCT-001,UAT-06,Timezone,1,2025-09-04,Passed,
ACCT-001,UAT-07,Dashboard,1,2025-09-05,Passed,
ACCT-001,UAT-08,Handoff,1,2025-09-06,Passed,
ACCT-002,UAT-01,Authentication,1,2025-09-05,Passed,
ACCT-002,UAT-02,Mapping,1,2025-09-06,Passed,
ACCT-002,UAT-03,Historical load,1,2025-09-07,Passed,
ACCT-002,UAT-04,Incremental sync,1,2025-09-08,Passed,
ACCT-002,UAT-05,Retries,1,2025-09-09,Passed,
ACCT-002,UAT-06,Timezone,1,2025-09-10,Passed,
ACCT-002,UAT-07,Dashboard,1,2025-09-11,Passed,
ACCT-002,UAT-08,Handoff,1,2025-09-12,Passed,
ACCT-003,UAT-01,Authentication,1,2025-09-19,Passed,
ACCT-003,UAT-02,Mapping,1,2025-09-20,Passed,
ACCT-003,UAT-03,Historical load,1,2025-09-21,Passed,
ACCT-003,UAT-04,Incremental sync,1,2025-09-22,Passed,
ACCT-003,UAT-05,Retries,1,2025-09-23,Passed,
ACCT-003,UAT-06,Timezone,1,2025-09-24,Passed,
ACCT-003,UAT-07,Dashboard,1,2025-09-25,Passed,
ACCT-003,UAT-08,Handoff,1,2025-09-26,Passed,
ACCT-004,UAT-01,Authentication,1,2025-09-14,Passed,
ACCT-004,UAT-02,Mapping,1,2025-09-15,Passed,
ACCT-004,UAT-03,Historical load,1,2025-09-16,Passed,
ACCT-004,UAT-04,Incremental sync,1,2025-09-17,Passed,
ACCT-004,UAT-05,Retries,1,2025-09-18,Passed,
ACCT-004,UAT-06,Timezone,1,2025-09-19,Passed,
ACCT-004,UAT-07,Dashboard,1,2025-09-20,Passed,
ACCT-004,UAT-08,Handoff,1,2025-09-21,Passed,
ACCT-005,UAT-01,Authentication,1,2025-10-18,Passed,
ACCT-005,UAT-02,Mapping,1,2025-10-19,Passed,
ACCT-005,UAT-03,Historical load,1,2025-10-20,Passed,
ACCT-005,UAT-04,Incremental sync,1,2025-10-21,Passed,
ACCT-005,UAT-05,Retries,1,2025-10-22,Passed,
ACCT-005,UAT-06,Timezone,1,2025-10-23,Passed,
ACCT-005,UAT-07,Dashboard,1,2025-10-24,Passed,
ACCT-005,UAT-08,Handoff,1,2025-10-25,Passed,
ACCT-006,UAT-01,Authentication,1,2025-10-04,Passed,
ACCT-006,UAT-02,Mapping,1,2025-10-05,Passed,
ACCT-006,UAT-03,Historical load,1,2025-10-06,Passed,
ACCT-006,UAT-04,Incremental sync,1,2025-10-07,Passed,
ACCT-006,UAT-05,Retries,1,2025-10-08,Passed,
ACCT-006,UAT-06,Timezone,1,2025-10-09,Passed,
ACCT-006,UAT-07,Dashboard,1,2025-10-10,Passed,
ACCT-006,UAT-08,Handoff,1,2025-10-11,Passed,
ACCT-007,UAT-01,Authentication,1,2025-09-29,Passed,
ACCT-007,UAT-02,Mapping,1,2025-09-30,Passed,
ACCT-007,UAT-03,Historical load,1,2025-10-01,Passed,
ACCT-007,UAT-04,Incremental sync,1,2025-10-02,Passed,
ACCT-007,UAT-05,Retries,1,2025-10-03,Passed,
ACCT-007,UAT-06,Timezone,1,2025-10-04,Passed,
ACCT-007,UAT-07,Dashboard,1,2025-10-05,Passed,
ACCT-007,UAT-08,Handoff,1,2025-10-06,Passed,
ACCT-008,UAT-01,Authentication,1,2025-10-05,Passed,
ACCT-008,UAT-02,Mapping,1,2025-10-06,Passed,
ACCT-008,UAT-03,Historical load,1,2025-10-07,Passed,
ACCT-008,UAT-04,Incremental sync,1,2025-10-08,Passed,
ACCT-008,UAT-05,Retries,1,2025-10-09,Passed,
ACCT-008,UAT-06,Timezone,1,2025-10-10,Passed,
ACCT-008,UAT-07,Dashboard,1,2025-10-11,Passed,
ACCT-008,UAT-08,Handoff,1,2025-10-12,Passed,
ACCT-009,UAT-01,Authentication,1,2025-10-19,Passed,
ACCT-009,UAT-02,Mapping,1,2025-10-20,Passed,
ACCT-009,UAT-03,Historical load,1,2025-10-21,Passed,
ACCT-009,UAT-04,Incremental sync,1,2025-10-22,Passed,
ACCT-009,UAT-05,Retries,1,2025-10-23,Passed,
ACCT-009,UAT-06,Timezone,1,2025-10-24,Passed,
ACCT-009,UAT-07,Dashboard,1,2025-10-25,Passed,
ACCT-009,UAT-08,Handoff,1,2025-10-26,Passed,
ACCT-010,UAT-01,Authentication,1,2025-11-11,Passed,
ACCT-010,UAT-02,Mapping,1,2025-11-12,Passed,
ACCT-010,UAT-03,Historical load,1,2025-11-13,Passed,
ACCT-010,UAT-04,Incremental sync,1,2025-11-14,Passed,
ACCT-010,UAT-05,Retries,1,2025-11-15,Passed,
ACCT-010,UAT-06,Timezone,1,2025-11-16,Passed,
ACCT-010,UAT-07,Dashboard,1,2025-11-17,Passed,
ACCT-010,UAT-08,Handoff,1,2025-11-18,Passed,
ACCT-011,UAT-01,Authentication,1,2025-10-20,Passed,
ACCT-011,UAT-02,Mapping,1,2025-10-21,Passed,
ACCT-011,UAT-03,Historical load,1,2025-10-22,Passed,
ACCT-011,UAT-04,Incremental sync,1,2025-10-23,Passed,
ACCT-011,UAT-05,Retries,1,2025-10-24,Passed,
ACCT-011,UAT-06,Timezone,1,2025-10-25,Passed,
ACCT-011,UAT-07,Dashboard,1,2025-10-26,Passed,
ACCT-011,UAT-08,Handoff,1,2025-10-27,Passed,
ACCT-012,UAT-01,Authentication,1,2025-11-03,Passed,
ACCT-012,UAT-02,Mapping,1,2025-11-04,Passed,
ACCT-012,UAT-03,Historical load,1,2025-11-05,Passed,
ACCT-012,UAT-04,Incremental sync,1,2025-11-06,Passed,
ACCT-012,UAT-05,Retries,1,2025-11-07,Passed,
ACCT-012,UAT-06,Timezone,1,2025-11-08,Passed,
ACCT-012,UAT-07,Dashboard,1,2025-11-09,Passed,
ACCT-012,UAT-08,Handoff,1,2025-11-10,Passed,
ACCT-013,UAT-01,Authentication,1,2025-10-29,Passed,
ACCT-013,UAT-02,Mapping,1,2025-10-30,Passed,
ACCT-013,UAT-03,Historical load,1,2025-10-31,Passed,
ACCT-013,UAT-04,Incremental sync,1,2025-11-01,Passed,
ACCT-013,UAT-05,Retries,1,2025-11-02,Passed,
ACCT-013,UAT-06,Timezone,1,2025-11-03,Passed,
ACCT-013,UAT-07,Dashboard,1,2025-11-04,Passed,
ACCT-013,UAT-08,Handoff,1,2025-11-05,Passed,
ACCT-014,UAT-01,Authentication,1,2025-11-04,Passed,
ACCT-014,UAT-02,Mapping,1,2025-11-05,Passed,
ACCT-014,UAT-03,Historical load,1,2025-11-06,Passed,
ACCT-014,UAT-04,Incremental sync,1,2025-11-07,Passed,
ACCT-014,UAT-05,Retries,1,2025-11-08,Passed,
ACCT-014,UAT-06,Timezone,1,2025-11-09,Passed,
ACCT-014,UAT-07,Dashboard,1,2025-11-10,Passed,
ACCT-014,UAT-08,Handoff,1,2025-11-11,Passed,
ACCT-015,UAT-01,Authentication,1,2025-12-05,Passed,
ACCT-015,UAT-02,Mapping,1,2025-12-06,Passed,
ACCT-015,UAT-03,Historical load,1,2025-12-07,Passed,
ACCT-015,UAT-04,Incremental sync,1,2025-12-08,Passed,
ACCT-015,UAT-05,Retries,1,2025-12-09,Passed,
ACCT-015,UAT-06,Timezone,1,2025-12-10,Passed,
ACCT-015,UAT-07,Dashboard,1,2025-12-11,Passed,
ACCT-015,UAT-08,Handoff,1,2025-12-12,Passed,
ACCT-016,UAT-01,Authentication,1,2025-11-13,Passed,
ACCT-016,UAT-02,Mapping,1,2025-11-14,Passed,
ACCT-016,UAT-03,Historical load,1,2025-11-15,Passed,
ACCT-016,UAT-04,Incremental sync,1,2025-11-16,Passed,
ACCT-016,UAT-05,Retries,1,2025-11-17,Passed,
ACCT-016,UAT-06,Timezone,1,2025-11-18,Passed,
ACCT-016,UAT-07,Dashboard,1,2025-11-19,Passed,
ACCT-016,UAT-08,Handoff,1,2025-11-20,Passed,
ACCT-017,UAT-01,Authentication,1,2025-11-19,Passed,
ACCT-017,UAT-02,Mapping,1,2025-11-20,Passed,
ACCT-017,UAT-03,Historical load,1,2025-11-21,Passed,
ACCT-017,UAT-04,Incremental sync,1,2025-11-22,Passed,
ACCT-017,UAT-05,Retries,1,2025-11-23,Passed,
ACCT-017,UAT-06,Timezone,1,2025-11-24,Passed,
ACCT-017,UAT-07,Dashboard,1,2025-11-25,Passed,
ACCT-017,UAT-08,Handoff,1,2025-11-26,Passed,
ACCT-018,UAT-01,Authentication,1,2025-12-03,Passed,
ACCT-018,UAT-02,Mapping,1,2025-12-04,Passed,
ACCT-018,UAT-03,Historical load,1,2025-12-05,Passed,
ACCT-018,UAT-04,Incremental sync,1,2025-12-06,Passed,
ACCT-018,UAT-05,Retries,1,2025-12-07,Passed,
ACCT-018,UAT-06,Timezone,1,2025-12-08,Passed,
ACCT-018,UAT-07,Dashboard,1,2025-12-09,Passed,
ACCT-018,UAT-08,Handoff,1,2025-12-10,Passed,
ACCT-019,UAT-01,Authentication,1,2025-11-28,Passed,
ACCT-019,UAT-02,Mapping,1,2025-11-29,Passed,
ACCT-019,UAT-03,Historical load,1,2025-11-30,Passed,
ACCT-019,UAT-04,Incremental sync,1,2025-12-01,Passed,
ACCT-019,UAT-05,Retries,1,2025-12-02,Passed,
ACCT-019,UAT-06,Timezone,1,2025-12-03,Passed,
ACCT-019,UAT-07,Dashboard,1,2025-12-04,Passed,
ACCT-019,UAT-08,Handoff,1,2025-12-05,Passed,
ACCT-020,UAT-01,Authentication,1,2026-01-01,Passed,
ACCT-020,UAT-02,Mapping,1,2026-01-02,Passed,
ACCT-020,UAT-03,Historical load,1,2026-01-03,Passed,
ACCT-020,UAT-04,Incremental sync,1,2026-01-04,Passed,
ACCT-020,UAT-05,Retries,1,2026-01-05,Passed,
ACCT-020,UAT-06,Timezone,1,2026-01-06,Passed,
ACCT-020,UAT-07,Dashboard,1,2026-01-07,Passed,
ACCT-020,UAT-08,Handoff,1,2026-01-08,Passed,
ACCT-021,UAT-01,Authentication,1,2025-12-18,Passed,
ACCT-021,UAT-02,Mapping,1,2025-12-19,Passed,
ACCT-021,UAT-03,Historical load,1,2025-12-20,Passed,
ACCT-021,UAT-04,Incremental sync,1,2025-12-21,Passed,
ACCT-021,UAT-05,Retries,1,2025-12-22,Passed,
ACCT-021,UAT-06,Timezone,1,2025-12-23,Passed,
ACCT-021,UAT-07,Dashboard,1,2025-12-24,Passed,
ACCT-021,UAT-08,Handoff,1,2025-12-25,Passed,
ACCT-022,UAT-01,Authentication,1,2025-12-13,Passed,
ACCT-022,UAT-02,Mapping,1,2025-12-14,Passed,
ACCT-022,UAT-03,Historical load,1,2025-12-15,Passed,
ACCT-022,UAT-04,Incremental sync,1,2025-12-16,Passed,
ACCT-022,UAT-05,Retries,1,2025-12-17,Passed,
ACCT-022,UAT-06,Timezone,1,2025-12-18,Passed,
ACCT-022,UAT-07,Dashboard,1,2025-12-19,Passed,
ACCT-022,UAT-08,Handoff,1,2025-12-20,Passed,
ACCT-023,UAT-01,Authentication,1,2025-12-19,Passed,
ACCT-023,UAT-02,Mapping,1,2025-12-20,Passed,
ACCT-023,UAT-03,Historical load,1,2025-12-21,Passed,
ACCT-023,UAT-04,Incremental sync,1,2025-12-22,Passed,
ACCT-023,UAT-05,Retries,1,2025-12-23,Passed,
ACCT-023,UAT-06,Timezone,1,2025-12-24,Passed,
ACCT-023,UAT-07,Dashboard,1,2025-12-25,Passed,
ACCT-023,UAT-08,Handoff,1,2025-12-26,Passed,
ACCT-024,UAT-01,Authentication,1,2026-01-02,Passed,
ACCT-024,UAT-02,Mapping,1,2026-01-03,Passed,
ACCT-024,UAT-03,Historical load,1,2026-01-04,Passed,
ACCT-024,UAT-04,Incremental sync,1,2026-01-05,Passed,
ACCT-024,UAT-05,Retries,1,2026-01-06,Passed,
ACCT-024,UAT-06,Timezone,1,2026-01-07,Passed,
ACCT-024,UAT-07,Dashboard,1,2026-01-08,Passed,
ACCT-024,UAT-08,Handoff,1,2026-01-09,Passed,
ACCT-025,UAT-01,Authentication,1,2026-01-25,Passed,
ACCT-025,UAT-02,Mapping,1,2026-01-26,Passed,
ACCT-025,UAT-03,Historical load,1,2026-01-27,Passed,
ACCT-025,UAT-04,Incremental sync,1,2026-01-28,Passed,
ACCT-025,UAT-05,Retries,1,2026-01-29,Passed,
ACCT-025,UAT-06,Timezone,1,2026-01-30,Passed,
ACCT-025,UAT-07,Dashboard,1,2026-01-31,Passed,
ACCT-025,UAT-08,Handoff,1,2026-02-01,Passed,
ACCT-026,UAT-01,Authentication,1,2026-01-03,Passed,
ACCT-026,UAT-02,Mapping,1,2026-01-04,Passed,
ACCT-026,UAT-03,Historical load,1,2026-01-05,Passed,
ACCT-026,UAT-04,Incremental sync,1,2026-01-06,Passed,
ACCT-026,UAT-05,Retries,1,2026-01-07,Passed,
ACCT-026,UAT-06,Timezone,1,2026-01-08,Passed,
ACCT-026,UAT-07,Dashboard,1,2026-01-09,Passed,
ACCT-026,UAT-08,Handoff,1,2026-01-10,Passed,
ACCT-027,UAT-01,Authentication,1,2026-01-17,Passed,
ACCT-027,UAT-02,Mapping,1,2026-01-18,Passed,
ACCT-027,UAT-03,Historical load,1,2026-01-19,Passed,
ACCT-027,UAT-04,Incremental sync,1,2026-01-20,Passed,
ACCT-027,UAT-05,Retries,1,2026-01-21,Passed,
ACCT-027,UAT-06,Timezone,1,2026-01-22,Passed,
ACCT-027,UAT-07,Dashboard,1,2026-01-23,Passed,
ACCT-027,UAT-08,Handoff,1,2026-01-24,Passed,
ACCT-028,UAT-01,Authentication,1,2026-01-12,Passed,
ACCT-028,UAT-02,Mapping,1,2026-01-13,Passed,
ACCT-028,UAT-03,Historical load,1,2026-01-14,Passed,
ACCT-028,UAT-04,Incremental sync,1,2026-01-15,Passed,
ACCT-028,UAT-05,Retries,1,2026-01-16,Passed,
ACCT-028,UAT-06,Timezone,1,2026-01-17,Passed,
ACCT-028,UAT-07,Dashboard,1,2026-01-18,Passed,
ACCT-028,UAT-08,Handoff,1,2026-01-19,Passed,
ACCT-029,UAT-01,Authentication,1,2026-01-18,Passed,
ACCT-029,UAT-02,Mapping,1,2026-01-19,Passed,
ACCT-029,UAT-03,Historical load,1,2026-01-20,Passed,
ACCT-029,UAT-04,Incremental sync,1,2026-01-21,Passed,
ACCT-029,UAT-05,Retries,1,2026-01-22,Passed,
ACCT-029,UAT-06,Timezone,1,2026-01-23,Passed,
ACCT-029,UAT-07,Dashboard,1,2026-01-24,Passed,
ACCT-029,UAT-08,Handoff,1,2026-01-25,Passed,
ACCT-030,UAT-01,Authentication,1,2026-02-18,Passed,
ACCT-030,UAT-02,Mapping,1,2026-02-19,Passed,
ACCT-030,UAT-03,Historical load,1,2026-02-20,Passed,
ACCT-030,UAT-04,Incremental sync,1,2026-02-21,Passed,
ACCT-030,UAT-05,Retries,1,2026-02-22,Passed,
ACCT-030,UAT-06,Timezone,1,2026-02-23,Passed,
ACCT-030,UAT-07,Dashboard,1,2026-02-24,Passed,
ACCT-030,UAT-08,Handoff,1,2026-02-25,Passed,
ACCT-031,UAT-01,Authentication,1,2026-01-27,Passed,
ACCT-031,UAT-02,Mapping,1,2026-01-28,Passed,
ACCT-031,UAT-03,Historical load,1,2026-01-29,Passed,
ACCT-031,UAT-04,Incremental sync,1,2026-01-30,Passed,
ACCT-031,UAT-05,Retries,1,2026-01-31,Passed,
ACCT-031,UAT-06,Timezone,1,2026-02-01,Passed,
ACCT-031,UAT-07,Dashboard,1,2026-02-02,Passed,
ACCT-031,UAT-08,Handoff,1,2026-02-03,Passed,
ACCT-032,UAT-01,Authentication,1,2026-02-02,Passed,
ACCT-032,UAT-02,Mapping,1,2026-02-03,Passed,
ACCT-032,UAT-03,Historical load,1,2026-02-04,Passed,
ACCT-032,UAT-04,Incremental sync,1,2026-02-05,Passed,
ACCT-032,UAT-05,Retries,1,2026-02-06,Passed,
ACCT-032,UAT-06,Timezone,1,2026-02-07,Passed,
ACCT-032,UAT-07,Dashboard,1,2026-02-08,Passed,
ACCT-032,UAT-08,Handoff,1,2026-02-09,Passed,
ACCT-033,UAT-01,Authentication,1,2026-02-16,Passed,
ACCT-033,UAT-02,Mapping,1,2026-02-17,Passed,
ACCT-033,UAT-03,Historical load,1,2026-02-18,Passed,
ACCT-033,UAT-04,Incremental sync,1,2026-02-19,Passed,
ACCT-033,UAT-05,Retries,1,2026-02-20,Passed,
ACCT-033,UAT-06,Timezone,1,2026-02-21,Passed,
ACCT-033,UAT-07,Dashboard,1,2026-02-22,Passed,
ACCT-033,UAT-08,Handoff,1,2026-02-23,Passed,
ACCT-034,UAT-01,Authentication,1,2026-02-11,Passed,
ACCT-034,UAT-02,Mapping,1,2026-02-12,Passed,
ACCT-034,UAT-03,Historical load,1,2026-02-13,Passed,
ACCT-034,UAT-04,Incremental sync,1,2026-02-14,Passed,
ACCT-034,UAT-05,Retries,1,2026-02-15,Passed,
ACCT-034,UAT-06,Timezone,1,2026-02-16,Passed,
ACCT-034,UAT-07,Dashboard,1,2026-02-17,Passed,
ACCT-034,UAT-08,Handoff,1,2026-02-18,Passed,
ACCT-035,UAT-01,Authentication,1,2026-03-17,Passed,
ACCT-035,UAT-02,Mapping,1,2026-03-18,Passed,
ACCT-035,UAT-03,Historical load,1,2026-03-19,Passed,
ACCT-035,UAT-04,Incremental sync,1,2026-03-20,Passed,
ACCT-035,UAT-05,Retries,1,2026-03-21,Passed,
ACCT-035,UAT-06,Timezone,1,2026-03-22,Passed,
ACCT-035,UAT-07,Dashboard,1,2026-03-23,Passed,
ACCT-035,UAT-08,Handoff,1,2026-03-24,Passed,
ACCT-036,UAT-01,Authentication,1,2026-03-03,Passed,
ACCT-036,UAT-02,Mapping,1,2026-03-04,Passed,
ACCT-036,UAT-03,Historical load,1,2026-03-05,Passed,
ACCT-036,UAT-04,Incremental sync,1,2026-03-06,Passed,
ACCT-036,UAT-05,Retries,1,2026-03-07,Passed,
ACCT-036,UAT-06,Timezone,1,2026-03-08,Passed,
ACCT-036,UAT-07,Dashboard,1,2026-03-09,Passed,
ACCT-036,UAT-08,Handoff,1,2026-03-10,Passed,
ACCT-037,UAT-01,Authentication,1,2026-02-26,Passed,
ACCT-037,UAT-02,Mapping,1,2026-02-27,Passed,
ACCT-037,UAT-03,Historical load,1,2026-02-28,Passed,
ACCT-037,UAT-04,Incremental sync,1,2026-03-01,Passed,
ACCT-037,UAT-05,Retries,1,2026-03-02,Passed,
ACCT-037,UAT-06,Timezone,1,2026-03-03,Passed,
ACCT-037,UAT-07,Dashboard,1,2026-03-04,Passed,
ACCT-037,UAT-08,Handoff,1,2026-03-05,Passed,
ACCT-038,UAT-01,Authentication,1,2026-03-04,Passed,
ACCT-038,UAT-02,Mapping,1,2026-03-05,Passed,
ACCT-038,UAT-03,Historical load,1,2026-03-06,Passed,
ACCT-038,UAT-04,Incremental sync,1,2026-03-07,Passed,
