account_id,usage_date,active_users,successful_syncs,data_acceptance_rate,key_workflows_completed
ACCT-001,2025-09-12,2,0,0.91,0
ACCT-001,2025-09-13,2,0,0.91,0
ACCT-001,2025-09-14,2,1,0.91,0
ACCT-001,2025-09-15,3,1,0.91,0
ACCT-001,2025-09-16,3,1,0.96,0
ACCT-001,2025-09-17,3,1,0.96,1
ACCT-001,2025-09-18,4,1,0.96,1
ACCT-001,2025-09-19,4,1,0.96,1
ACCT-001,2025-09-20,4,1,0.96,1
ACCT-001,2025-09-21,5,1,0.96,1
ACCT-001,2025-09-22,5,1,0.96,1
ACCT-001,2025-09-23,5,1,0.96,1
ACCT-001,2025-09-24,6,1,0.96,1
ACCT-001,2025-09-25,6,1,0.96,1
ACCT-001,2025-09-26,6,1,0.96,1
ACCT-001,2025-09-27,7,1,0.96,1
ACCT-001,2025-09-28,7,1,0.96,1
ACCT-001,2025-09-29,7,1,0.96,1
ACCT-001,2025-09-30,8,1,0.96,1
ACCT-001,2025-10-01,8,1,0.96,1
ACCT-001,2025-10-02,8,1,0.96,1
ACCT-001,2025-10-03,8,1,0.96,1
ACCT-001,2025-10-04,8,1,0.96,1
ACCT-001,2025-10-05,8,1,0.96,1
ACCT-001,2025-10-06,8,1,0.96,1
ACCT-001,2025-10-07,8,1,0.96,1
ACCT-001,2025-10-08,8,1,0.96,1
ACCT-001,2025-10-09,8,1,0.96,1
ACCT-001,2025-10-10,8,1,0.96,1
ACCT-001,2025-10-11,8,1,0.96,1
ACCT-002,2025-09-13,3,0,0.91,0
ACCT-002,2025-09-14,3,0,0.91,0
ACCT-002,2025-09-15,3,1,0.91,0
ACCT-002,2025-09-16,4,1,0.91,0
ACCT-002,2025-09-17,4,1,0.96,0
ACCT-002,2025-09-18,4,1,0.96,1
ACCT-002,2025-09-19,5,1,0.96,1
ACCT-002,2025-09-20,5,1,0.96,1
ACCT-002,2025-09-21,5,1,0.96,1
ACCT-002,2025-09-22,6,1,0.96,1
ACCT-002,2025-09-23,6,1,0.96,1
ACCT-002,2025-09-24,6,1,0.96,1
ACCT-002,2025-09-25,7,1,0.96,1
ACCT-002,2025-09-26,7,1,0.96,1
ACCT-002,2025-09-27,7,1,0.96,1
ACCT-002,2025-09-28,8,1,0.96,1
ACCT-002,2025-09-29,8,1,0.96,1
ACCT-002,2025-09-30,8,1,0.96,1
ACCT-002,2025-10-01,8,1,0.96,1
ACCT-002,2025-10-02,8,1,0.96,1
ACCT-002,2025-10-03,8,1,0.96,1
ACCT-002,2025-10-04,8,1,0.96,1
ACCT-002,2025-10-05,8,1,0.96,1
ACCT-002,2025-10-06,8,1,0.96,1
ACCT-002,2025-10-07,8,1,0.96,1
ACCT-002,2025-10-08,8,1,0.96,1
ACCT-002,2025-10-09,8,1,0.96,1
ACCT-002,2025-10-10,8,1,0.96,1
ACCT-002,2025-10-11,8,1,0.96,1
ACCT-002,2025-10-12,8,1,0.96,1
ACCT-003,2025-10-13,1,0,0.91,0
ACCT-003,2025-10-14,1,0,0.91,0
ACCT-003,2025-10-15,1,1,0.91,0
ACCT-003,2025-10-16,2,1,0.91,0
ACCT-003,2025-10-17,2,1,0.96,0
ACCT-003,2025-10-18,2,1,0.96,1
ACCT-003,2025-10-19,3,1,0.96,1
ACCT-003,2025-10-20,3,1,0.96,1
ACCT-003,2025-10-21,3,1,0.96,1
ACCT-003,2025-10-22,4,1,0.96,1
ACCT-003,2025-10-23,4,1,0.96,1
ACCT-003,2025-10-24,4,1,0.96,1
ACCT-003,2025-10-25,5,1,0.96,1
ACCT-003,2025-10-26,5,1,0.96,1
ACCT-003,2025-10-27,5,1,0.96,1
ACCT-003,2025-10-28,6,1,0.96,1
ACCT-003,2025-10-29,6,1,0.96,1
ACCT-003,2025-10-30,6,1,0.96,1
ACCT-003,2025-10-31,7,1,0.96,1
ACCT-003,2025-11-01,7,1,0.96,1
ACCT-003,2025-11-02,7,1,0.96,1
ACCT-003,2025-11-03,8,1,0.96,1
ACCT-003,2025-11-04,8,1,0.96,1
ACCT-003,2025-11-05,8,1,0.96,1
ACCT-003,2025-11-06,8,1,0.96,1
ACCT-003,2025-11-07,8,1,0.96,1
ACCT-003,2025-11-08,8,1,0.96,1
ACCT-003,2025-11-09,8,1,0.96,1
ACCT-003,2025-11-10,8,1,0.96,1
ACCT-003,2025-11-11,8,1,0.96,1
ACCT-004,2025-10-01,2,0,0.91,0
ACCT-004,2025-10-02,2,0,0.91,0
ACCT-004,2025-10-03,2,1,0.91,0
ACCT-004,2025-10-04,3,1,0.91,0
ACCT-004,2025-10-05,3,1,0.96,0
ACCT-004,2025-10-06,3,1,0.96,1
ACCT-004,2025-10-07,4,1,0.96,1
ACCT-004,2025-10-08,4,1,0.96,1
ACCT-004,2025-10-09,4,1,0.96,1
ACCT-004,2025-10-10,5,1,0.96,1
ACCT-004,2025-10-11,5,1,0.96,1
ACCT-004,2025-10-12,5,1,0.96,1
ACCT-004,2025-10-13,6,1,0.96,1
ACCT-004,2025-10-14,6,1,0.96,1
ACCT-004,2025-10-15,6,1,0.96,1
ACCT-004,2025-10-16,7,1,0.96,1
ACCT-004,2025-10-17,7,1,0.96,1
ACCT-004,2025-10-18,7,1,0.96,1
ACCT-004,2025-10-19,8,1,0.96,1
ACCT-004,2025-10-20,8,1,0.96,1
ACCT-004,2025-10-21,8,1,0.96,1
ACCT-004,2025-10-22,8,1,0.96,1
ACCT-004,2025-10-23,8,1,0.96,1
ACCT-004,2025-10-24,8,1,0.96,1
ACCT-004,2025-10-25,8,1,0.96,1
ACCT-004,2025-10-26,8,1,0.96,1
ACCT-004,2025-10-27,8,1,0.96,1
ACCT-004,2025-10-28,8,1,0.96,1
ACCT-004,2025-10-29,8,1,0.96,1
ACCT-004,2025-10-30,8,1,0.96,1
ACCT-005,2025-11-16,3,0,0.91,0
ACCT-005,2025-11-17,3,0,0.91,0
ACCT-005,2025-11-18,3,1,0.91,0
ACCT-005,2025-11-19,4,1,0.91,0
ACCT-005,2025-11-20,4,1,0.96,0
ACCT-005,2025-11-21,4,1,0.96,1
ACCT-005,2025-11-22,5,1,0.96,1
ACCT-005,2025-11-23,5,1,0.96,1
ACCT-005,2025-11-24,5,1,0.96,1
ACCT-005,2025-11-25,6,1,0.96,1
ACCT-005,2025-11-26,6,1,0.96,1
ACCT-005,2025-11-27,6,1,0.96,1
ACCT-005,2025-11-28,7,1,0.96,1
ACCT-005,2025-11-29,7,1,0.96,1
ACCT-005,2025-11-30,7,1,0.96,1
ACCT-005,2025-12-01,8,1,0.96,1
ACCT-005,2025-12-02,8,1,0.96,1
ACCT-005,2025-12-03,8,1,0.96,1
