run_id,run_date,asset_id,scheduled_at,completed_at,freshness_minutes,rows_expected,rows_loaded,pipeline_status,schema_version,governed_value,dashboard_value
RUN-20260301-WEB_EVENTS,2026-03-01,WEB_EVENTS,2026-03-01T02:00:00Z,2026-03-01T03:45:00Z,105,100,100,SUCCEEDED,v1,26573.11,26600.12
RUN-20260301-CRM_LEADS,2026-03-01,CRM_LEADS,2026-03-01T02:00:00Z,2026-03-01T03:54:00Z,114,100,100,SUCCEEDED,v1,25114.49,25152.29
RUN-20260301-COMMERCE_ORDERS,2026-03-01,COMMERCE_ORDERS,2026-03-01T02:00:00Z,2026-03-01T04:08:00Z,128,100,100,SUCCEEDED,v1,25535.18,25583.87
RUN-20260301-CAMPAIGN_SPEND,2026-03-01,CAMPAIGN_SPEND,2026-03-01T02:00:00Z,2026-03-01T04:23:00Z,143,100,100,SUCCEEDED,v1,26501.88,26514.22
RUN-20260302-WEB_EVENTS,2026-03-02,WEB_EVENTS,2026-03-02T02:00:00Z,2026-03-02T03:24:00Z,84,100,100,SUCCEEDED,v1,25075.35,25112.73
RUN-20260302-CRM_LEADS,2026-03-02,CRM_LEADS,2026-03-02T02:00:00Z,2026-03-02T04:21:00Z,141,100,100,SUCCEEDED,v1,26609.14,26631.41
RUN-20260302-COMMERCE_ORDERS,2026-03-02,COMMERCE_ORDERS,2026-03-02T02:00:00Z,2026-03-02T03:59:00Z,119,100,100,SUCCEEDED,v1,27651.97,27701.75
RUN-20260302-CAMPAIGN_SPEND,2026-03-02,CAMPAIGN_SPEND,2026-03-02T02:00:00Z,2026-03-02T04:03:00Z,123,100,100,SUCCEEDED,v1,25289.37,25340.24
RUN-20260303-WEB_EVENTS,2026-03-03,WEB_EVENTS,2026-03-03T02:00:00Z,2026-03-03T03:34:00Z,94,100,100,SUCCEEDED,v1,24676.94,24746.69
RUN-20260303-CRM_LEADS,2026-03-03,CRM_LEADS,2026-03-03T02:00:00Z,2026-03-03T03:45:00Z,105,100,100,SUCCEEDED,v1,26982.66,27025.51
RUN-20260303-COMMERCE_ORDERS,2026-03-03,COMMERCE_ORDERS,2026-03-03T02:00:00Z,2026-03-03T03:10:00Z,70,100,100,SUCCEEDED,v1,25838.94,25897.09
RUN-20260303-CAMPAIGN_SPEND,2026-03-03,CAMPAIGN_SPEND,2026-03-03T02:00:00Z,2026-03-03T03:47:00Z,107,100,100,SUCCEEDED,v1,26613.38,26692.74
RUN-20260304-WEB_EVENTS,2026-03-04,WEB_EVENTS,2026-03-04T02:00:00Z,2026-03-04T03:15:00Z,75,100,100,SUCCEEDED,v1,26590.83,26639.25
RUN-20260304-CRM_LEADS,2026-03-04,CRM_LEADS,2026-03-04T02:00:00Z,2026-03-04T04:21:00Z,141,100,100,SUCCEEDED,v1,27289.98,27303.14
RUN-20260304-COMMERCE_ORDERS,2026-03-04,COMMERCE_ORDERS,2026-03-04T02:00:00Z,2026-03-04T04:22:00Z,142,100,100,SUCCEEDED,v1,25676.48,25712.99
RUN-20260304-CAMPAIGN_SPEND,2026-03-04,CAMPAIGN_SPEND,2026-03-04T02:00:00Z,2026-03-04T03:03:00Z,63,100,100,SUCCEEDED,v1,24322.43,24364.83
RUN-20260305-WEB_EVENTS,2026-03-05,WEB_EVENTS,2026-03-05T02:00:00Z,2026-03-05T04:38:00Z,158,100,100,SUCCEEDED,v1,28367.85,28443.46
RUN-20260305-CRM_LEADS,2026-03-05,CRM_LEADS,2026-03-05T02:00:00Z,2026-03-05T04:30:00Z,150,100,100,SUCCEEDED,v1,24520.25,24593.91
RUN-20260305-COMMERCE_ORDERS,2026-03-05,COMMERCE_ORDERS,2026-03-05T02:00:00Z,2026-03-05T03:34:00Z,94,100,100,SUCCEEDED,v1,25924.4,26001.63
RUN-20260305-CAMPAIGN_SPEND,2026-03-05,CAMPAIGN_SPEND,2026-03-05T02:00:00Z,2026-03-05T04:43:00Z,163,100,100,SUCCEEDED,v1,25007.18,25029.58
RUN-20260306-WEB_EVENTS,2026-03-06,WEB_EVENTS,2026-03-06T02:00:00Z,2026-03-06T04:59:00Z,179,100,100,SUCCEEDED,v1,24873.6,24928.93
RUN-20260306-CRM_LEADS,2026-03-06,CRM_LEADS,2026-03-06T02:00:00Z,2026-03-06T03:12:00Z,72,100,100,SUCCEEDED,v1,26952.34,26969.69
RUN-20260306-COMMERCE_ORDERS,2026-03-06,COMMERCE_ORDERS,2026-03-06T02:00:00Z,2026-03-06T04:03:00Z,123,100,100,SUCCEEDED,v1,27302.16,27364.82
RUN-20260306-CAMPAIGN_SPEND,2026-03-06,CAMPAIGN_SPEND,2026-03-06T02:00:00Z,2026-03-06T03:41:00Z,101,100,100,SUCCEEDED,v1,25735.9,25779.28
RUN-20260307-WEB_EVENTS,2026-03-07,WEB_EVENTS,2026-03-07T02:00:00Z,2026-03-07T04:53:00Z,173,100,100,SUCCEEDED,v1,27043.75,27096.64
RUN-20260307-CRM_LEADS,2026-03-07,CRM_LEADS,2026-03-07T02:00:00Z,2026-03-07T03:01:00Z,61,100,100,SUCCEEDED,v1,26641.96,26707.85
RUN-20260307-COMMERCE_ORDERS,2026-03-07,COMMERCE_ORDERS,2026-03-07T02:00:00Z,2026-03-07T03:41:00Z,101,100,100,SUCCEEDED,v1,27454.29,27498.88
RUN-20260307-CAMPAIGN_SPEND,2026-03-07,CAMPAIGN_SPEND,2026-03-07T02:00:00Z,2026-03-07T04:01:00Z,121,100,100,SUCCEEDED,v1,27055.79,27140.8
RUN-20260308-WEB_EVENTS,2026-03-08,WEB_EVENTS,2026-03-08T02:00:00Z,2026-03-08T04:27:00Z,147,100,100,SUCCEEDED,v1,27193.84,27270.77
RUN-20260308-CRM_LEADS,2026-03-08,CRM_LEADS,2026-03-08T02:00:00Z,2026-03-08T02:56:00Z,56,100,100,SUCCEEDED,v1,27787.56,27860.42
RUN-20260308-COMMERCE_ORDERS,2026-03-08,COMMERCE_ORDERS,2026-03-08T02:00:00Z,2026-03-08T04:02:00Z,122,100,100,SUCCEEDED,v1,26883.28,26943.15
RUN-20260308-CAMPAIGN_SPEND,2026-03-08,CAMPAIGN_SPEND,2026-03-08T02:00:00Z,2026-03-08T03:16:00Z,76,100,100,SUCCEEDED,v1,24776.39,24814.58
RUN-20260309-WEB_EVENTS,2026-03-09,WEB_EVENTS,2026-03-09T02:00:00Z,2026-03-09T05:04:00Z,184,100,100,SUCCEEDED,v1,26201.84,26265.04
RUN-20260309-CRM_LEADS,2026-03-09,CRM_LEADS,2026-03-09T02:00:00Z,2026-03-09T04:15:00Z,135,100,100,SUCCEEDED,v1,26412.55,26430.65
RUN-20260309-COMMERCE_ORDERS,2026-03-09,COMMERCE_ORDERS,2026-03-09T02:00:00Z,2026-03-09T02:57:00Z,57,100,100,SUCCEEDED,v1,25621.9,25697.43
RUN-20260309-CAMPAIGN_SPEND,2026-03-09,CAMPAIGN_SPEND,2026-03-09T02:00:00Z,2026-03-09T04:24:00Z,144,100,100,SUCCEEDED,v1,26527.31,26591.05
RUN-20260310-WEB_EVENTS,2026-03-10,WEB_EVENTS,2026-03-10T02:00:00Z,2026-03-10T03:28:00Z,88,100,100,SUCCEEDED,v1,23285.19,23333.31
RUN-20260310-CRM_LEADS,2026-03-10,CRM_LEADS,2026-03-10T02:00:00Z,2026-03-10T03:25:00Z,85,100,100,SUCCEEDED,v1,24832.78,24857.92
RUN-20260310-COMMERCE_ORDERS,2026-03-10,COMMERCE_ORDERS,2026-03-10T02:00:00Z,2026-03-10T04:19:00Z,139,100,100,SUCCEEDED,v1,24332.0,24373.32
RUN-20260310-CAMPAIGN_SPEND,2026-03-10,CAMPAIGN_SPEND,2026-03-10T02:00:00Z,2026-03-10T04:15:00Z,135,100,100,SUCCEEDED,v1,24496.47,24559.16
RUN-20260311-WEB_EVENTS,2026-03-11,WEB_EVENTS,2026-03-11T02:00:00Z,2026-03-11T03:38:00Z,98,100,100,SUCCEEDED,v1,24240.71,24255.53
RUN-20260311-CRM_LEADS,2026-03-11,CRM_LEADS,2026-03-11T02:00:00Z,2026-03-11T04:49:00Z,169,100,100,SUCCEEDED,v1,25966.99,25978.71
RUN-20260311-COMMERCE_ORDERS,2026-03-11,COMMERCE_ORDERS,2026-03-11T02:00:00Z,2026-03-11T04:15:00Z,135,100,100,SUCCEEDED,v1,26414.18,26494.42
RUN-20260311-CAMPAIGN_SPEND,2026-03-11,CAMPAIGN_SPEND,2026-03-11T02:00:00Z,2026-03-11T04:31:00Z,151,100,100,SUCCEEDED,v1,25363.17,25402.86
RUN-20260312-WEB_EVENTS,2026-03-12,WEB_EVENTS,2026-03-12T02:00:00Z,2026-03-12T04:38:00Z,158,100,100,SUCCEEDED,v1,26437.24,26519.35
RUN-20260312-CRM_LEADS,2026-03-12,CRM_LEADS,2026-03-12T02:00:00Z,2026-03-12T03:13:00Z,73,100,100,SUCCEEDED,v1,27163.17,27242.88
RUN-20260312-COMMERCE_ORDERS,2026-03-12,COMMERCE_ORDERS,2026-03-12T02:00:00Z,2026-03-12T04:02:00Z,122,100,100,SUCCEEDED,v1,25067.02,25132.42
RUN-20260312-CAMPAIGN_SPEND,2026-03-12,CAMPAIGN_SPEND,2026-03-12T02:00:00Z,2026-03-12T03:06:00Z,66,100,100,SUCCEEDED,v1,24387.38,24423.77
RUN-20260313-WEB_EVENTS,2026-03-13,WEB_EVENTS,2026-03-13T02:00:00Z,2026-03-13T02:58:00Z,58,100,100,SUCCEEDED,v1,27433.01,27456.78
RUN-20260313-CRM_LEADS,2026-03-13,CRM_LEADS,2026-03-13T02:00:00Z,2026-03-13T04:19:00Z,139,100,100,SUCCEEDED,v1,26800.8,26855.86
RUN-20260313-COMMERCE_ORDERS,2026-03-13,COMMERCE_ORDERS,2026-03-13T02:00:00Z,2026-03-13T03:27:00Z,87,100,100,SUCCEEDED,v1,24723.53,24774.36
RUN-20260313-CAMPAIGN_SPEND,2026-03-13,CAMPAIGN_SPEND,2026-03-13T02:00:00Z,2026-03-13T04:25:00Z,145,100,100,SUCCEEDED,v1,24852.18,24930.12
RUN-20260314-WEB_EVENTS,2026-03-14,WEB_EVENTS,2026-03-14T02:00:00Z,2026-03-14T04:47:00Z,167,100,100,SUCCEEDED,v1,25603.95,25614.97
RUN-20260314-CRM_LEADS,2026-03-14,CRM_LEADS,2026-03-14T02:00:00Z,2026-03-14T03:57:00Z,117,100,100,SUCCEEDED,v1,29354.61,29439.01
RUN-20260314-COMMERCE_ORDERS,2026-03-14,COMMERCE_ORDERS,2026-03-14T02:00:00Z,2026-03-14T04:14:00Z,134,100,100,SUCCEEDED,v1,27366.51,27396.7
RUN-20260314-CAMPAIGN_SPEND,2026-03-14,CAMPAIGN_SPEND,2026-03-14T02:00:00Z,2026-03-14T03:40:00Z,100,100,100,SUCCEEDED,v1,26901.48,26940.88
RUN-20260315-WEB_EVENTS,2026-03-15,WEB_EVENTS,2026-03-15T02:00:00Z,2026-03-15T03:45:00Z,105,100,100,SUCCEEDED,v1,24719.9,24785.84
