run_date,run_id,asset_id,rule_id,rule_name,quality_dimension,severity,observed_value,threshold,operator,status,affected_rows,owner
2026-03-01,RUN-20260301-WEB_EVENTS,WEB_EVENTS,DQ-UNIQUE,Business key uniqueness,Uniqueness,Critical,0.0,0.0,<=,PASS,0,Web Analytics
2026-03-01,RUN-20260301-WEB_EVENTS,WEB_EVENTS,DQ-COMPLETE,Partition row coverage,Completeness,Critical,1.0,0.9,>=,PASS,0,Web Analytics
2026-03-01,RUN-20260301-WEB_EVENTS,WEB_EVENTS,DQ-VALID,Required type validity,Validity,High,0.0,0.0,<=,PASS,0,Web Analytics
2026-03-01,RUN-20260301-WEB_EVENTS,WEB_EVENTS,DQ-TAXONOMY,Unknown taxonomy rate,Consistency,High,0.0,0.01,<=,PASS,0,Web Analytics
2026-03-01,RUN-20260301-WEB_EVENTS,WEB_EVENTS,DQ-FRESH,Freshness lag,Timeliness,High,105.0,240.0,<=,PASS,0,Web Analytics
2026-03-01,RUN-20260301-WEB_EVENTS,WEB_EVENTS,DQ-RECON,Raw-to-dashboard variance,Reconciliation,Critical,0.001016,0.005,<=,PASS,0,Web Analytics
2026-03-01,RUN-20260301-CRM_LEADS,CRM_LEADS,DQ-UNIQUE,Business key uniqueness,Uniqueness,Critical,0.0,0.0,<=,PASS,0,Revenue Analytics
2026-03-01,RUN-20260301-CRM_LEADS,CRM_LEADS,DQ-COMPLETE,Partition row coverage,Completeness,Critical,1.0,0.9,>=,PASS,0,Revenue Analytics
2026-03-01,RUN-20260301-CRM_LEADS,CRM_LEADS,DQ-VALID,Required type validity,Validity,High,0.0,0.0,<=,PASS,0,Revenue Analytics
2026-03-01,RUN-20260301-CRM_LEADS,CRM_LEADS,DQ-TAXONOMY,Unknown taxonomy rate,Consistency,High,0.0,0.01,<=,PASS,0,Revenue Analytics
2026-03-01,RUN-20260301-CRM_LEADS,CRM_LEADS,DQ-FRESH,Freshness lag,Timeliness,High,114.0,240.0,<=,PASS,0,Revenue Analytics
2026-03-01,RUN-20260301-CRM_LEADS,CRM_LEADS,DQ-RECON,Raw-to-dashboard variance,Reconciliation,Critical,0.001505,0.005,<=,PASS,0,Revenue Analytics
2026-03-01,RUN-20260301-COMMERCE_ORDERS,COMMERCE_ORDERS,DQ-UNIQUE,Business key uniqueness,Uniqueness,Critical,0.0,0.0,<=,PASS,0,Analytics Engineering
2026-03-01,RUN-20260301-COMMERCE_ORDERS,COMMERCE_ORDERS,DQ-COMPLETE,Partition row coverage,Completeness,Critical,1.0,0.9,>=,PASS,0,Analytics Engineering
2026-03-01,RUN-20260301-COMMERCE_ORDERS,COMMERCE_ORDERS,DQ-VALID,Required type validity,Validity,High,0.0,0.0,<=,PASS,0,Analytics Engineering
2026-03-01,RUN-20260301-COMMERCE_ORDERS,COMMERCE_ORDERS,DQ-TAXONOMY,Unknown taxonomy rate,Consistency,High,0.0,0.01,<=,PASS,0,Analytics Engineering
2026-03-01,RUN-20260301-COMMERCE_ORDERS,COMMERCE_ORDERS,DQ-FRESH,Freshness lag,Timeliness,High,128.0,240.0,<=,PASS,0,Analytics Engineering
2026-03-01,RUN-20260301-COMMERCE_ORDERS,COMMERCE_ORDERS,DQ-RECON,Raw-to-dashboard variance,Reconciliation,Critical,0.001907,0.005,<=,PASS,0,Analytics Engineering
2026-03-01,RUN-20260301-CAMPAIGN_SPEND,CAMPAIGN_SPEND,DQ-UNIQUE,Business key uniqueness,Uniqueness,Critical,0.0,0.0,<=,PASS,0,Marketing Operations
2026-03-01,RUN-20260301-CAMPAIGN_SPEND,CAMPAIGN_SPEND,DQ-COMPLETE,Partition row coverage,Completeness,Critical,1.0,0.9,>=,PASS,0,Marketing Operations
2026-03-01,RUN-20260301-CAMPAIGN_SPEND,CAMPAIGN_SPEND,DQ-VALID,Required type validity,Validity,High,0.0,0.0,<=,PASS,0,Marketing Operations
2026-03-01,RUN-20260301-CAMPAIGN_SPEND,CAMPAIGN_SPEND,DQ-TAXONOMY,Unknown taxonomy rate,Consistency,High,0.0,0.01,<=,PASS,0,Marketing Operations
2026-03-01,RUN-20260301-CAMPAIGN_SPEND,CAMPAIGN_SPEND,DQ-FRESH,Freshness lag,Timeliness,High,143.0,240.0,<=,PASS,0,Marketing Operations
2026-03-01,RUN-20260301-CAMPAIGN_SPEND,CAMPAIGN_SPEND,DQ-RECON,Raw-to-dashboard variance,Reconciliation,Critical,0.000466,0.005,<=,PASS,0,Marketing Operations
2026-03-02,RUN-20260302-WEB_EVENTS,WEB_EVENTS,DQ-UNIQUE,Business key uniqueness,Uniqueness,Critical,0.0,0.0,<=,PASS,0,Web Analytics
2026-03-02,RUN-20260302-WEB_EVENTS,WEB_EVENTS,DQ-COMPLETE,Partition row coverage,Completeness,Critical,1.0,0.9,>=,PASS,0,Web Analytics
2026-03-02,RUN-20260302-WEB_EVENTS,WEB_EVENTS,DQ-VALID,Required type validity,Validity,High,0.0,0.0,<=,PASS,0,Web Analytics
2026-03-02,RUN-20260302-WEB_EVENTS,WEB_EVENTS,DQ-TAXONOMY,Unknown taxonomy rate,Consistency,High,0.0,0.01,<=,PASS,0,Web Analytics
2026-03-02,RUN-20260302-WEB_EVENTS,WEB_EVENTS,DQ-FRESH,Freshness lag,Timeliness,High,84.0,240.0,<=,PASS,0,Web Analytics
2026-03-02,RUN-20260302-WEB_EVENTS,WEB_EVENTS,DQ-RECON,Raw-to-dashboard variance,Reconciliation,Critical,0.001491,0.005,<=,PASS,0,Web Analytics
2026-03-02,RUN-20260302-CRM_LEADS,CRM_LEADS,DQ-UNIQUE,Business key uniqueness,Uniqueness,Critical,0.0,0.0,<=,PASS,0,Revenue Analytics
2026-03-02,RUN-20260302-CRM_LEADS,CRM_LEADS,DQ-COMPLETE,Partition row coverage,Completeness,Critical,1.0,0.9,>=,PASS,0,Revenue Analytics
2026-03-02,RUN-20260302-CRM_LEADS,CRM_LEADS,DQ-VALID,Required type validity,Validity,High,0.0,0.0,<=,PASS,0,Revenue Analytics
2026-03-02,RUN-20260302-CRM_LEADS,CRM_LEADS,DQ-TAXONOMY,Unknown taxonomy rate,Consistency,High,0.0,0.01,<=,PASS,0,Revenue Analytics
2026-03-02,RUN-20260302-CRM_LEADS,CRM_LEADS,DQ-FRESH,Freshness lag,Timeliness,High,141.0,240.0,<=,PASS,0,Revenue Analytics
2026-03-02,RUN-20260302-CRM_LEADS,CRM_LEADS,DQ-RECON,Raw-to-dashboard variance,Reconciliation,Critical,0.000837,0.005,<=,PASS,0,Revenue Analytics
2026-03-02,RUN-20260302-COMMERCE_ORDERS,COMMERCE_ORDERS,DQ-UNIQUE,Business key uniqueness,Uniqueness,Critical,0.0,0.0,<=,PASS,0,Analytics Engineering
2026-03-02,RUN-20260302-COMMERCE_ORDERS,COMMERCE_ORDERS,DQ-COMPLETE,Partition row coverage,Completeness,Critical,1.0,0.9,>=,PASS,0,Analytics Engineering
2026-03-02,RUN-20260302-COMMERCE_ORDERS,COMMERCE_ORDERS,DQ-VALID,Required type validity,Validity,High,0.0,0.0,<=,PASS,0,Analytics Engineering
2026-03-02,RUN-20260302-COMMERCE_ORDERS,COMMERCE_ORDERS,DQ-TAXONOMY,Unknown taxonomy rate,Consistency,High,0.0,0.01,<=,PASS,0,Analytics Engineering
2026-03-02,RUN-20260302-COMMERCE_ORDERS,COMMERCE_ORDERS,DQ-FRESH,Freshness lag,Timeliness,High,119.0,240.0,<=,PASS,0,Analytics Engineering
2026-03-02,RUN-20260302-COMMERCE_ORDERS,COMMERCE_ORDERS,DQ-RECON,Raw-to-dashboard variance,Reconciliation,Critical,0.0018,0.005,<=,PASS,0,Analytics Engineering
2026-03-02,RUN-20260302-CAMPAIGN_SPEND,CAMPAIGN_SPEND,DQ-UNIQUE,Business key uniqueness,Uniqueness,Critical,0.0,0.0,<=,PASS,0,Marketing Operations
2026-03-02,RUN-20260302-CAMPAIGN_SPEND,CAMPAIGN_SPEND,DQ-COMPLETE,Partition row coverage,Completeness,Critical,1.0,0.9,>=,PASS,0,Marketing Operations
2026-03-02,RUN-20260302-CAMPAIGN_SPEND,CAMPAIGN_SPEND,DQ-VALID,Required type validity,Validity,High,0.0,0.0,<=,PASS,0,Marketing Operations
2026-03-02,RUN-20260302-CAMPAIGN_SPEND,CAMPAIGN_SPEND,DQ-TAXONOMY,Unknown taxonomy rate,Consistency,High,0.0,0.01,<=,PASS,0,Marketing Operations
2026-03-02,RUN-20260302-CAMPAIGN_SPEND,CAMPAIGN_SPEND,DQ-FRESH,Freshness lag,Timeliness,High,123.0,240.0,<=,PASS,0,Marketing Operations
2026-03-02,RUN-20260302-CAMPAIGN_SPEND,CAMPAIGN_SPEND,DQ-RECON,Raw-to-dashboard variance,Reconciliation,Critical,0.002012,0.005,<=,PASS,0,Marketing Operations
2026-03-03,RUN-20260303-WEB_EVENTS,WEB_EVENTS,DQ-UNIQUE,Business key uniqueness,Uniqueness,Critical,0.0,0.0,<=,PASS,0,Web Analytics
2026-03-03,RUN-20260303-WEB_EVENTS,WEB_EVENTS,DQ-COMPLETE,Partition row coverage,Completeness,Critical,1.0,0.9,>=,PASS,0,Web Analytics
