record_id,event_date,asset_id,business_key,event_type,numeric_value,source_medium,schema_version,required_value_valid
REC-20260301-WEB_EVENTS-000,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-000,purchase,150.64,governed/source,v1,1
REC-20260301-WEB_EVENTS-001,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-001,standard,190.54,governed/source,v1,1
REC-20260301-WEB_EVENTS-002,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-002,standard,166.07,governed/source,v1,1
REC-20260301-WEB_EVENTS-003,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-003,standard,331.23,governed/source,v1,1
REC-20260301-WEB_EVENTS-004,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-004,standard,468.64,governed/source,v1,1
REC-20260301-WEB_EVENTS-005,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-005,standard,21.98,governed/source,v1,1
REC-20260301-WEB_EVENTS-006,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-006,standard,57.2,governed/source,v1,1
REC-20260301-WEB_EVENTS-007,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-007,standard,332.05,governed/source,v1,1
REC-20260301-WEB_EVENTS-008,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-008,standard,223.94,governed/source,v1,1
REC-20260301-WEB_EVENTS-009,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-009,standard,353.32,governed/source,v1,1
REC-20260301-WEB_EVENTS-010,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-010,standard,489.4,governed/source,v1,1
REC-20260301-WEB_EVENTS-011,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-011,standard,395.93,governed/source,v1,1
REC-20260301-WEB_EVENTS-012,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-012,standard,110.61,governed/source,v1,1
REC-20260301-WEB_EVENTS-013,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-013,standard,417.06,governed/source,v1,1
REC-20260301-WEB_EVENTS-014,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-014,standard,329.07,governed/source,v1,1
REC-20260301-WEB_EVENTS-015,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-015,standard,443.94,governed/source,v1,1
REC-20260301-WEB_EVENTS-016,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-016,standard,222.21,governed/source,v1,1
REC-20260301-WEB_EVENTS-017,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-017,standard,35.46,governed/source,v1,1
REC-20260301-WEB_EVENTS-018,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-018,standard,183.72,governed/source,v1,1
REC-20260301-WEB_EVENTS-019,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-019,purchase,431.87,governed/source,v1,1
REC-20260301-WEB_EVENTS-020,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-020,standard,29.22,governed/source,v1,1
REC-20260301-WEB_EVENTS-021,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-021,standard,55.83,governed/source,v1,1
REC-20260301-WEB_EVENTS-022,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-022,standard,329.42,governed/source,v1,1
REC-20260301-WEB_EVENTS-023,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-023,standard,183.69,governed/source,v1,1
REC-20260301-WEB_EVENTS-024,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-024,standard,427.13,governed/source,v1,1
REC-20260301-WEB_EVENTS-025,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-025,standard,149.71,governed/source,v1,1
REC-20260301-WEB_EVENTS-026,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-026,standard,50.56,governed/source,v1,1
REC-20260301-WEB_EVENTS-027,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-027,standard,275.23,governed/source,v1,1
REC-20260301-WEB_EVENTS-028,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-028,standard,429.76,governed/source,v1,1
REC-20260301-WEB_EVENTS-029,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-029,standard,109.09,governed/source,v1,1
REC-20260301-WEB_EVENTS-030,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-030,standard,346.97,governed/source,v1,1
REC-20260301-WEB_EVENTS-031,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-031,standard,342.76,governed/source,v1,1
REC-20260301-WEB_EVENTS-032,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-032,standard,283.33,governed/source,v1,1
REC-20260301-WEB_EVENTS-033,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-033,standard,377.83,governed/source,v1,1
REC-20260301-WEB_EVENTS-034,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-034,standard,372.85,governed/source,v1,1
REC-20260301-WEB_EVENTS-035,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-035,standard,394.9,governed/source,v1,1
REC-20260301-WEB_EVENTS-036,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-036,standard,435.67,governed/source,v1,1
REC-20260301-WEB_EVENTS-037,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-037,standard,426.95,governed/source,v1,1
REC-20260301-WEB_EVENTS-038,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-038,purchase,235.38,governed/source,v1,1
REC-20260301-WEB_EVENTS-039,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-039,standard,81.28,governed/source,v1,1
REC-20260301-WEB_EVENTS-040,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-040,standard,317.31,governed/source,v1,1
REC-20260301-WEB_EVENTS-041,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-041,standard,133.18,governed/source,v1,1
REC-20260301-WEB_EVENTS-042,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-042,standard,481.71,governed/source,v1,1
REC-20260301-WEB_EVENTS-043,2026-03-01,WEB_EVENTS,WEB_EVENTS-20260301-043,standard,305.58,governed/source,v1,1
