month,actual_revenue,budget_revenue,gross_profit
2025-01,575794.85,581951.27,357092.11
2025-02,539298.45,544209.13,334170.96
2025-03,651741.54,656766.57,403353.32
2025-04,664030.37,670137.29,410752.49
2025-05,759236.74,764114.21,469518.78
2025-06,770103.82,775863.76,475709.46
2025-07,828445.53,833529.71,511319.78
2025-08,799626.8,806812.17,493091.68
2025-09,673831.08,679466.08,414729.39
2025-10,669529.68,674276.29,411690.04
2025-11,711182.99,714429.41,436845.31
2025-12,812796.77,817481.37,498763.38
2026-01,601762.93,606453.79,368851.07
2026-02,561462.43,565623.03,344042.16
2026-03,674518.34,681260.78,412919.68
2026-04,691322.88,696449.36,422567.69
2026-05,765589.73,794431.18,468459.65
2026-06,800767.81,806123.84,489086.67
