month,sku_id,market,channel,forecast_locked_at,forecast_method,budget_units,budget_revenue_eur,forecast_basis_units,forecast_units,forecast_revenue_eur
2025-01,SKU-01,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,949,2004.29,918,916,1934.59
2025-01,SKU-01,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,887,1873.34,856,846,1786.75
2025-01,SKU-01,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1548,3269.38,1486,1476,3117.31
2025-01,SKU-01,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1349,2849.09,1291,1293,2730.82
2025-01,SKU-01,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,887,1967.01,856,859,1904.92
2025-01,SKU-01,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,825,1829.52,794,773,1714.2
2025-01,SKU-01,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1446,3206.65,1384,1375,3049.2
2025-01,SKU-01,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1258,2789.74,1200,1209,2681.08
2025-01,SKU-01,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,763,1514.77,732,732,1453.22
2025-01,SKU-01,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,723,1435.36,692,706,1401.61
2025-01,SKU-01,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1258,2497.48,1200,1196,2374.39
2025-01,SKU-01,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1069,2122.26,1038,1029,2042.85
2025-01,SKU-01,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,661,1354.15,630,634,1298.84
2025-01,SKU-01,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,603,1235.33,572,565,1157.48
2025-01,SKU-01,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1038,2126.49,1007,999,2046.59
2025-01,SKU-01,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,899,1841.73,868,858,1757.73
2025-01,SKU-02,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,1108,1914.62,1073,1076,1859.33
2025-01,SKU-02,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,1038,1793.66,1007,995,1719.36
2025-01,SKU-02,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1805,3119.04,1743,1735,2998.08
2025-01,SKU-02,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1579,2728.51,1517,1514,2616.19
2025-01,SKU-02,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,1038,1883.35,1007,1022,1854.32
2025-01,SKU-02,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,976,1770.85,945,943,1710.98
2025-01,SKU-02,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1679,3046.38,1617,1611,2923.0
2025-01,SKU-02,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1459,2647.21,1397,1400,2540.16
2025-01,SKU-02,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,887,1440.77,856,856,1390.42
2025-01,SKU-02,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,847,1375.8,816,822,1335.19
2025-01,SKU-02,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1462,2374.76,1400,1405,2282.17
2025-01,SKU-02,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1260,2046.64,1202,1197,1944.31
2025-01,SKU-02,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,754,1263.82,723,727,1218.57
2025-01,SKU-02,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,723,1211.86,692,690,1156.55
2025-01,SKU-02,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1222,2048.27,1177,1170,1961.11
2025-01,SKU-02,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1051,1761.64,1020,1024,1716.39
2025-01,SKU-03,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,785,1959.36,754,756,1886.98
2025-01,SKU-03,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,736,1837.06,705,704,1757.18
2025-01,SKU-03,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1291,3222.34,1233,1225,3057.6
2025-01,SKU-03,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1086,2710.66,1055,1052,2625.79
2025-01,SKU-03,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,723,1894.84,692,697,1826.7
2025-01,SKU-03,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,692,1813.59,833,838,2196.23
2025-01,SKU-03,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1180,3092.54,1140,1137,2979.85
2025-01,SKU-03,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1011,2649.63,980,975,2555.28
2025-01,SKU-03,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,634,1487.52,713,711,1668.18
2025-01,SKU-03,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,600,1407.74,569,571,1339.7
2025-01,SKU-03,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1011,2372.05,980,986,2313.39
2025-01,SKU-03,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,887,2081.11,856,863,2024.81
2025-01,SKU-03,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,541,1309.83,510,507,1227.51
2025-01,SKU-03,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,510,1234.77,479,481,1164.56
2025-01,SKU-03,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,856,2072.48,825,825,1997.42
2025-01,SKU-03,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,754,1825.52,723,727,1760.15
2025-01,SKU-04,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,723,1874.02,692,696,1804.03
2025-01,SKU-04,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,692,1793.66,661,658,1705.54
2025-01,SKU-04,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1180,3058.56,1140,1142,2960.06
2025-01,SKU-04,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1011,2620.51,980,980,2540.16
2025-01,SKU-04,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,692,1883.35,661,664,1807.14
2025-01,SKU-04,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,634,1725.49,603,607,1652.01
2025-01,SKU-04,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1082,2944.77,1051,1050,2857.68
2025-01,SKU-04,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,949,2582.8,918,921,2506.59
2025-01,SKU-04,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,599,1459.45,568,569,1386.36
2025-01,SKU-04,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,559,1361.99,528,528,1286.46
2025-01,SKU-04,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,949,2312.22,918,913,2224.51
2025-01,SKU-04,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,817,1990.6,786,787,1917.51
2025-01,SKU-04,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,506,1272.21,475,469,1179.18
2025-01,SKU-04,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,470,1181.69,439,436,1096.21
2025-01,SKU-04,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,794,1996.31,763,757,1903.28
2025-01,SKU-04,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,692,1739.85,661,660,1659.4
2025-01,SKU-05,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,669,2440.51,638,644,2349.31
2025-01,SKU-05,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,634,2312.83,603,605,2207.04
2025-01,SKU-05,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1079,3936.19,1048,1071,3907.01
2025-01,SKU-05,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,945,3447.36,914,907,3308.74
2025-01,SKU-05,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,631,2416.98,600,600,2298.24
2025-01,SKU-05,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,599,2294.41,568,562,2152.68
2025-01,SKU-05,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1007,3857.21,976,971,3719.32
2025-01,SKU-05,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,877,3359.26,846,841,3221.37
2025-01,SKU-05,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,541,1855.15,510,509,1745.42
2025-01,SKU-05,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,510,1748.85,479,484,1659.69
2025-01,SKU-05,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,878,3010.77,847,858,2942.18
2025-01,SKU-05,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,754,2585.56,723,724,2482.68
2025-01,SKU-05,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,470,1663.12,439,437,1546.35
2025-01,SKU-05,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,435,1539.27,408,408,1443.73
2025-01,SKU-05,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,741,2622.07,710,707,2501.76
2025-01,SKU-05,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,634,2243.45,603,601,2126.67
2025-01,SKU-06,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,630,2782.08,599,596,2631.94
2025-01,SKU-06,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,590,2605.44,559,557,2459.71
2025-01,SKU-06,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,983,4340.93,952,960,4239.36
2025-01,SKU-06,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,856,3780.1,825,821,3625.54
2025-01,SKU-06,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,572,2652.25,541,543,2517.78
2025-01,SKU-06,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,541,2508.51,510,508,2355.49
2025-01,SKU-06,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,918,4256.58,887,874,4052.56
2025-01,SKU-06,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,795,3686.26,764,763,3537.88
2025-01,SKU-06,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,510,2117.03,479,482,2000.8
2025-01,SKU-06,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,473,1963.44,442,446,1851.36
2025-01,SKU-06,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,795,3300.08,764,758,3146.49
2025-01,SKU-06,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,692,2872.52,661,661,2743.84
2025-01,SKU-06,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,435,1863.33,408,403,1726.26
2025-01,SKU-06,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,386,1653.44,377,377,1614.89
2025-01,SKU-06,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,692,2964.2,661,669,2865.67
2025-01,SKU-06,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,599,2565.83,568,574,2458.74
2025-01,SKU-07,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,572,2306.3,541,542,2185.34
2025-01,SKU-07,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,541,2181.31,510,502,2024.06
2025-01,SKU-07,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,905,3648.96,874,875,3528.0
2025-01,SKU-07,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,785,3165.12,754,759,3060.29
2025-01,SKU-07,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,532,2252.28,501,503,2129.5
2025-01,SKU-07,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,501,2121.03,470,470,1989.79
2025-01,SKU-07,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,847,3585.86,816,810,3429.22
2025-01,SKU-07,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,723,3060.89,692,692,2929.65
2025-01,SKU-07,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,470,1781.34,439,439,1663.85
2025-01,SKU-07,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,435,1648.68,408,406,1538.77
2025-01,SKU-07,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,723,2740.23,692,694,2630.32
2025-01,SKU-07,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,634,2402.91,603,601,2277.84
2025-01,SKU-07,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,386,1509.66,377,377,1474.46
2025-01,SKU-07,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,346,1353.22,346,346,1353.22
2025-01,SKU-07,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,630,2463.96,599,602,2354.45
2025-01,SKU-07,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,541,2115.87,510,511,1998.54
2025-01,SKU-08,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,510,2399.04,479,472,2220.29
2025-01,SKU-08,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,479,2253.22,448,449,2112.1
2025-01,SKU-08,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,816,3838.46,785,790,3716.16
2025-01,SKU-08,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,717,3372.77,796,795,3739.68
2025-01,SKU-08,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,479,2365.88,448,449,2217.7
2025-01,SKU-08,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,444,2193.0,417,421,2079.4
2025-01,SKU-08,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,754,3724.16,853,841,4153.87
2025-01,SKU-08,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,661,3264.81,630,628,3101.82
2025-01,SKU-08,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,395,1746.6,386,385,1702.38
2025-01,SKU-08,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,386,1706.8,377,386,1706.8
2025-01,SKU-08,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,661,2922.78,630,640,2829.93
2025-01,SKU-08,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,572,2529.25,541,532,2352.38
2025-01,SKU-08,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,319,1455.56,319,316,1441.87
2025-01,SKU-08,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,315,1437.31,315,315,1437.31
2025-01,SKU-08,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,571,2605.4,540,543,2477.64
2025-01,SKU-08,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,497,2267.75,466,474,2162.81
2025-01,SKU-09,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,1260,2056.32,1202,1212,1977.98
2025-01,SKU-09,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,1172,1912.7,1132,1113,1816.42
2025-01,SKU-09,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,2030,3312.96,1959,1978,3228.1
2025-01,SKU-09,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1763,2877.22,1701,1700,2774.4
2025-01,SKU-09,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,1171,2006.63,1131,1123,1924.37
2025-01,SKU-09,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,1082,1854.12,1051,1033,1770.15
2025-01,SKU-09,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1903,3260.98,1832,1855,3178.73
2025-01,SKU-09,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1641,2812.02,1579,1595,2733.19
2025-01,SKU-09,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,1007,1544.82,1178,1180,1810.21
2025-01,SKU-09,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,947,1452.77,916,901,1382.21
2025-01,SKU-09,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1641,2517.43,1579,1568,2405.44
2025-01,SKU-09,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1424,2184.53,1362,1359,2084.81
2025-01,SKU-09,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,856,1355.08,825,824,1304.42
2025-01,SKU-09,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,794,1256.93,763,773,1223.69
2025-01,SKU-09,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1388,2197.26,1326,1342,2124.44
2025-01,SKU-09,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1182,1871.15,1142,1137,1799.92
2025-01,SKU-10,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,856,2383.1,825,822,2288.45
2025-01,SKU-10,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,816,2271.74,785,790,2199.36
2025-01,SKU-10,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1416,3942.14,1354,1358,3780.67
2025-01,SKU-10,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1211,3371.42,1171,1182,3290.69
2025-01,SKU-10,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,816,2385.33,785,781,2283.02
2025-01,SKU-10,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,754,2204.09,869,859,2511.03
2025-01,SKU-10,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1322,3864.47,1264,1271,3715.39
2025-01,SKU-10,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1122,3279.83,1082,1088,3180.44
2025-01,SKU-10,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,695,1818.79,664,665,1740.28
2025-01,SKU-10,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,661,1729.81,630,634,1659.15
2025-01,SKU-10,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1122,2936.23,1082,1076,2815.85
2025-01,SKU-10,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,976,2554.15,945,945,2473.03
2025-01,SKU-10,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,599,1617.59,568,568,1533.87
2025-01,SKU-10,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,559,1509.57,528,541,1460.96
2025-01,SKU-10,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,949,2562.76,918,925,2497.94
2025-01,SKU-10,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,825,2227.9,794,796,2149.58
2025-01,SKU-11,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,754,2388.67,723,724,2293.63
2025-01,SKU-11,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,717,2271.46,686,688,2179.58
2025-01,SKU-11,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1211,3836.45,1171,1168,3700.22
2025-01,SKU-11,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,1047,3316.9,1016,1013,3209.18
2025-01,SKU-11,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,703,2338.46,672,670,2228.69
2025-01,SKU-11,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,661,2198.75,630,618,2055.72
2025-01,SKU-11,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1140,3792.1,1100,1094,3639.08
2025-01,SKU-11,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,980,3259.87,949,941,3130.14
2025-01,SKU-11,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,606,1804.62,575,577,1718.26
2025-01,SKU-11,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,572,1703.37,541,555,1652.75
2025-01,SKU-11,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,980,2918.36,949,943,2808.18
2025-01,SKU-11,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,852,2537.19,821,810,2412.12
2025-01,SKU-11,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,528,1622.52,497,499,1533.41
2025-01,SKU-11,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,497,1527.26,466,465,1428.93
2025-01,SKU-11,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,825,2535.19,794,788,2421.49
2025-01,SKU-11,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,723,2221.75,692,685,2104.98
2025-01,SKU-12,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,696,2405.38,665,669,2312.06
2025-01,SKU-12,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,661,2284.42,630,632,2184.19
2025-01,SKU-12,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1140,3939.84,1100,1118,3863.81
2025-01,SKU-12,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,978,3379.97,947,952,3290.11
2025-01,SKU-12,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,661,2398.64,630,628,2278.89
2025-01,SKU-12,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,615,2231.71,584,586,2126.48
2025-01,SKU-12,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1042,3781.21,1011,998,3621.54
2025-01,SKU-12,North,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,917,3327.61,886,880,3193.34
2025-01,SKU-12,South,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,572,1858.22,541,532,1728.28
2025-01,SKU-12,South,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,541,1757.51,510,515,1673.05
2025-01,SKU-12,South,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,918,2982.25,887,886,2878.3
2025-01,SKU-12,South,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,785,2550.18,754,750,2436.48
2025-01,SKU-12,West,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,479,1605.76,448,453,1518.6
2025-01,SKU-12,West,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,449,1505.19,422,419,1404.62
2025-01,SKU-12,West,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,767,2571.23,736,745,2497.48
2025-01,SKU-12,West,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,665,2229.29,634,638,2138.78
2025-01,SKU-13,Central,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,661,2030.59,630,626,1923.07
2025-01,SKU-13,Central,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,603,1852.42,572,574,1763.33
2025-01,SKU-13,Central,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,1038,3188.74,1007,999,3068.93
2025-01,SKU-13,Central,Wholesale,2024-12-31,calendar_plan_v1_no_realized_demand,895,2749.44,864,857,2632.7
2025-01,SKU-13,North,Convenience,2024-12-31,calendar_plan_v1_no_realized_demand,603,1945.04,572,571,1841.82
2025-01,SKU-13,North,Ecommerce,2024-12-31,calendar_plan_v1_no_realized_demand,572,1845.04,633,635,2048.26
2025-01,SKU-13,North,Grocery,2024-12-31,calendar_plan_v1_no_realized_demand,973,3138.51,942,933,3009.48
