promo_id,sku_id,market,channel,start_date,end_date,mechanic,discount_pct,execution_lift_pct,activation_cost_eur,actual_units,baseline_units,unit_uplift_pct,discount_value_eur,incremental_profit_eur,promotion_investment_eur,promotion_roi
PROMO-001,SKU-03,South,Convenience,2025-01-02,2025-01-10,Display,0.1,0.35,75.99,278,173,0.606936,67.94,15.01,143.93,0.104287
PROMO-002,SKU-08,North,Grocery,2025-01-05,2025-01-14,Bundle,0.15,0.22,52.58,365,234,0.559829,281.69,85.48,334.27,0.255721
PROMO-003,SKU-13,North,Ecommerce,2025-01-08,2025-01-18,Price cut,0.2,0.08,106.02,279,196,0.423469,187.49,-120.93,293.51,-0.412013
PROMO-004,SKU-16,South,Convenience,2025-01-11,2025-01-22,Feature,0.3,0.25,83.59,252,174,0.448276,220.3,-168.71,303.89,-0.555168
PROMO-005,SKU-03,North,Ecommerce,2025-01-14,2025-01-26,Display,0.1,0.35,46.4,403,261,0.544061,110.02,99.06,156.42,0.633295
PROMO-006,SKU-10,North,Ecommerce,2025-01-17,2025-01-25,Bundle,0.15,0.22,100.82,338,209,0.617225,154.38,5.89,255.2,0.02308
PROMO-007,SKU-08,Central,Wholesale,2025-01-20,2025-01-29,Price cut,0.2,0.08,34.41,334,221,0.511312,327.32,-27.5,361.73,-0.076024
PROMO-008,SKU-09,South,Convenience,2025-01-23,2025-01-31,Feature,0.3,0.25,120.27,466,279,0.670251,223.4,-153.44,343.67,-0.446475
PROMO-009,SKU-06,North,Wholesale,2025-02-02,2025-02-10,Bundle,0.1,0.22,49.71,332,230,0.443478,160.36,95.6,210.07,0.455086
PROMO-010,SKU-08,West,Grocery,2025-02-05,2025-02-14,Price cut,0.15,0.08,98.31,255,180,0.416667,181.8,-69.42,280.11,-0.247831
PROMO-011,SKU-05,South,Convenience,2025-02-08,2025-02-18,Feature,0.2,0.25,93.49,305,181,0.685083,217.89,-47.39,311.38,-0.152193
PROMO-012,SKU-16,Central,Ecommerce,2025-02-11,2025-02-22,Display,0.3,0.35,119.89,321,220,0.459091,298.53,-224.77,418.42,-0.537188
PROMO-013,SKU-07,West,Convenience,2025-02-14,2025-02-26,Bundle,0.1,0.22,81.41,235,162,0.450617,95.74,1.7,177.15,0.009596
PROMO-014,SKU-14,North,Ecommerce,2025-02-17,2025-02-25,Price cut,0.15,0.08,116.64,176,134,0.313433,102.56,-119.61,219.2,-0.545666
PROMO-015,SKU-16,North,Ecommerce,2025-02-20,2025-02-28,Feature,0.2,0.25,111.63,242,153,0.581699,157.54,-84.78,269.17,-0.314968
PROMO-016,SKU-16,South,Convenience,2025-02-23,2025-02-28,Display,0.3,0.35,84.24,140,92,0.521739,122.39,-123.55,206.63,-0.597929
PROMO-017,SKU-06,Central,Wholesale,2025-03-02,2025-03-10,Price cut,0.1,0.08,115.85,355,273,0.300366,163.3,-52.48,279.15,-0.187999
PROMO-018,SKU-11,Central,Convenience,2025-03-05,2025-03-14,Feature,0.15,0.25,121.55,446,266,0.676692,220.77,33.15,342.32,0.096839
PROMO-019,SKU-16,South,Ecommerce,2025-03-08,2025-03-18,Display,0.2,0.35,30.43,285,170,0.676471,166.1,2.41,196.53,0.012263
PROMO-020,SKU-07,South,Grocery,2025-03-11,2025-03-22,Bundle,0.3,0.22,102.86,457,311,0.469453,541.27,-305.11,644.13,-0.473678
PROMO-021,SKU-04,West,Convenience,2025-03-14,2025-03-26,Price cut,0.1,0.08,56.06,305,225,0.355556,79.88,-4.32,135.94,-0.031779
PROMO-022,SKU-01,West,Grocery,2025-03-17,2025-03-25,Feature,0.15,0.25,122.11,528,320,0.65,169.01,-5.95,291.12,-0.020438
PROMO-023,SKU-14,North,Convenience,2025-03-20,2025-03-29,Display,0.2,0.35,36.46,306,178,0.719101,237.76,28.99,274.22,0.105718
PROMO-024,SKU-14,West,Grocery,2025-03-23,2025-03-31,Bundle,0.3,0.22,100.28,257,181,0.41989,276.71,-219.47,376.99,-0.582164
